Timestamp,Temperature (C),Power (W),Memory Used (MB),Utilization (%),Clock Speed (MHz)
2024/12/23 05:22:19.350, 47, 2.79, 79, 0, 210
2024/12/23 05:22:20.577, 47, 2.84, 79, 0, 210
2024/12/23 05:22:21.866, 47, 2.76, 79, 0, 210
2024/12/23 05:22:21.726, 48, 2.67, 79, 0, 210
